add-none, 2, 10000, 40000, 598069, 14, 0
add-none, 2, 100000, 400000, 4314580, 10, -11640
add-none, 2, 1000000, 4000000, 46073205, 11, -7786
add-none, 4, 100, 800, 117794, 147, 41
add-none, 4, 1000, 8000, 138665, 17, 259
add-none, 4, 10000, 80000, 1076996, 13, 65
add-none, 4, 100000, 800000, 11200843, 14, -32768
add-none, 4, 1000000, 8000000, 92568491, 11, -19221
add-yield-none, 1, 100, 200, 123451, 617, 0
add-yield-none, 1, 1000, 2000, 574565, 287, 0
add-yield-none, 1, 10000, 20000, 4745209, 237, 0
add-yield-none, 1, 100000, 200000, 47328593, 236, 0
add-yield-none, 1, 1000000, 2000000, 540944432, 270, 0
add-yield-none, 2, 100, 400, 125753, 314, -28
add-yield-none, 2, 1000, 4000, 584623, 146, -35
add-yield-none, 2, 10000, 40000, 5091876, 127, -157
add-yield-none, 2, 100000, 400000, 51187834, 127, -69
add-yield-none, 2, 1000000, 4000000, 488714286, 122, -181
add-yield-none, 4, 100, 800, 177381, 221, 90
add-yield-none, 4, 1000, 8000, 766790, 95, 57
add-yield-none, 4, 10000, 80000, 6931393, 86, 77
add-yield-none, 4, 100000, 800000, 70294559, 87, 23
add-yield-none, 4, 1000000, 8000000, 681448177, 85, -4509
add-yield-m, 2, 10000, 40000, 20947123, 523, 0
add-yield-m, 4, 10000, 80000, 60672037, 758, 0
add-yield-m, 8, 10000, 160000, 165870766, 1036, 0
add-yield-m, 12, 10000, 240000, 250485035, 1043, 0
add-yield-c, 2, 10000, 40000, 13698505, 342, 0
add-yield-c, 4, 10000, 80000, 28499548, 356, 0
add-yield-c, 8, 10000, 160000, 71649897, 447, 0
add-yield-c, 12, 10000, 240000, 114104197, 475, 0
add-yield-s, 2, 10000, 40000, 13286673, 332, 0
add-yield-s, 4, 10000, 80000, 33927233, 424, 0
add-yield-s, 8, 1000, 16000, 13343358, 833, 0
add-yield-s, 12, 1000, 24000, 24941481, 1039, 0
add-m, 1, 10000, 20000, 723299, 36, 0
add-m, 2, 10000, 40000, 10525984, 263, 0
add-m, 4, 10000, 80000, 15738457, 196, 0
add-m, 8, 10000, 160000, 26720605, 167, 0
add-m, 12, 10000, 240000, 36598967, 152, 0
add-c, 1, 10000, 20000, 464956, 23, 0
add-c, 2, 10000, 40000, 4056933, 101, 0
add-c, 4, 10000, 80000, 7372688, 92, 0
add-c, 8, 10000, 160000, 16859029, 105, 0
add-c, 12, 10000, 240000, 22830476, 95, 0
add-s, 1, 10000, 20000, 323699, 16, 0
add-s, 2, 10000, 40000, 3807337, 95, 0
add-s, 4, 10000, 80000, 17754961, 221, 0
add-s, 8, 10000, 160000, 64005157, 400, 0
add-s, 12, 10000, 240000, 119679637, 498, 0
add-none, 2, 100, 400, 105418, 263, 0
add-none, 2, 1000, 4000, 147450, 36, -302
add-none, 2, 10000, 40000, 513928, 12, -321
add-none, 2, 100000, 400000, 4350854, 10, -23546
add-none, 4, 100, 800, 124935, 156, 0
add-none, 4, 1000, 8000, 177879, 22, -7
add-none, 4, 10000, 80000, 1033066, 12, -1429
add-none, 4, 100000, 800000, 10115467, 12, -28794
add-none, 8, 100, 1600, 225692, 141, 0
add-none, 8, 1000, 16000, 307404, 19, 1729
add-none, 8, 10000, 160000, 2018662, 12, -103
add-none, 8, 100000, 1600000, 21031672, 13, -41670
add-none, 12, 100, 2400, 288309, 120, 0
add-none, 12, 1000, 24000, 447859, 18, 1297
add-none, 12, 10000, 240000, 3385851, 14, -6520
add-none, 12, 100000, 2400000, 33953346, 14, -101052
add-yield-none, 2, 10, 40, 93625, 2340, 1
add-yield-none, 4, 10, 80, 135656, 1695, 3
add-yield-none, 8, 10, 160, 222818, 1392, 0
add-yield-none, 12, 10, 240, 324195, 1350, 7
add-yield-none, 2, 20, 80, 80383, 1004, 7
add-yield-none, 4, 20, 160, 105177, 657, 12
add-yield-none, 8, 20, 320, 217627, 680, -7
add-yield-none, 12, 20, 480, 319954, 666, 9
add-yield-none, 2, 40, 160, 104454, 652, 23
add-yield-none, 4, 40, 320, 137944, 431, 33
add-yield-none, 8, 40, 640, 223402, 349, -24
add-yield-none, 12, 40, 960, 365409, 380, 95
add-yield-none, 2, 80, 320, 134037, 418, 34
add-yield-none, 4, 80, 640, 172286, 269, 57
add-yield-none, 8, 80, 1280, 252577, 197, 55
add-yield-none, 12, 80, 1920, 376534, 196, 158
add-yield-none, 2, 100, 400, 138329, 345, 60
add-yield-none, 4, 100, 800, 192107, 240, 92
add-yield-none, 8, 100, 1600, 978785, 611, 109
add-yield-none, 12, 100, 2400, 398315, 165, 373
add-yield-none, 2, 1000, 4000, 595840, 148, -146
add-yield-none, 4, 1000, 8000, 816898, 102, 166
add-yield-none, 8, 1000, 16000, 1145518, 71, 273
add-yield-none, 12, 1000, 24000, 1684697, 70, 379
add-yield-none, 2, 10000, 40000, 5360178, 134, 26
add-yield-none, 4, 10000, 80000, 7020976, 87, -78
add-yield-none, 8, 10000, 160000, 9725780, 60, -899
add-yield-none, 12, 10000, 240000, 16033641, 66, -550
add-yield-none, 2, 100000, 400000, 51556682, 128, -34
add-yield-none, 4, 100000, 800000, 69856419, 87, 56
add-yield-none, 8, 100000, 1600000, 99847568, 62, -5842
add-yield-none, 12, 100000, 2400000, 156850591, 65, -36240
add-none, 1, 100, 200, 87556, 437, 0
add-none, 1, 1000, 2000, 77496, 38, 0
add-none, 1, 10000, 20000, 238540, 11, 0
add-none, 1, 100000, 200000, 1606880, 8, 0
add-none, 1, 1000000, 2000000, 15402198, 7, 0
add-none, 2, 100, 400, 95489, 238, 0
add-none, 2, 1000, 4000, 99785, 24, 912
add-none, 2, 10000, 40000, 492650, 12, -92
add-none, 2, 100000, 400000, 4383443, 10, 2059
add-none, 2, 1000000, 4000000, 48617923, 12, -136378
add-none, 4, 100, 800, 131385, 164, 12
add-none, 4, 1000, 8000, 160326, 20, 265
add-none, 4, 10000, 80000, 1122645, 14, 2055
add-none, 4, 100000, 800000, 9500475, 11, -6788
add-none, 4, 1000000, 8000000, 94552923, 11, -287536
add-yield-none, 1, 100, 200, 128018, 640, 0
add-yield-none, 1, 1000, 2000, 550540, 275, 0
add-yield-none, 1, 10000, 20000, 4860109, 243, 0
add-yield-none, 1, 100000, 200000, 47416653, 237, 0
add-yield-none, 1, 1000000, 2000000, 474852348, 237, 0
add-yield-none, 2, 100, 400, 134019, 335, 24
add-yield-none, 2, 1000, 4000, 564994, 141, -29
add-yield-none, 2, 10000, 40000, 5066295, 126, -156
add-yield-none, 2, 100000, 400000, 51571598, 128, -363
add-yield-none, 2, 1000000, 4000000, 516985823, 129, 4416
add-yield-none, 4, 100, 800, 197376, 246, 44
add-yield-none, 4, 1000, 8000, 805785, 100, 150
add-yield-none, 4, 10000, 80000, 7027283, 87, -9
add-yield-none, 4, 100000, 800000, 69159047, 86, -87
add-yield-none, 4, 1000000, 8000000, 710840878, 88, -16611
add-yield-m, 2, 10000, 40000, 21882925, 547, 0
add-yield-m, 4, 10000, 80000, 58872490, 735, 0
add-yield-m, 8, 10000, 160000, 167233411, 1045, 0
add-yield-m, 12, 10000, 240000, 288100670, 1200, 0
add-yield-c, 2, 10000, 40000, 12653165, 316, 0
add-yield-c, 4, 10000, 80000, 28871471, 360, 0
add-yield-c, 8, 10000, 160000, 75293622, 470, 0
add-yield-c, 12, 10000, 240000, 122349580, 509, 0
add-yield-s, 2, 10000, 40000, 13335782, 333, 0
add-yield-s, 4, 10000, 80000, 33898050, 423, 0
add-yield-s, 8, 1000, 16000, 11272112, 704, 0
add-yield-s, 12, 1000, 24000, 28187007, 1174, 0
add-m, 1, 10000, 20000, 742508, 37, 0
add-m, 2, 10000, 40000, 4352070, 108, 0
add-m, 4, 10000, 80000, 17759971, 221, 0
add-m, 8, 10000, 160000, 27009388, 168, 0
add-m, 12, 10000, 240000, 35272733, 146, 0
add-c, 1, 10000, 20000, 478307, 23, 0
add-c, 2, 10000, 40000, 3674949, 91, 0
add-c, 4, 10000, 80000, 7116383, 88, 0
add-c, 8, 10000, 160000, 15349219, 95, 0
add-c, 12, 10000, 240000, 22296887, 92, 0
add-s, 1, 10000, 20000, 334855, 16, 0
add-s, 2, 10000, 40000, 3082969, 77, 0
add-s, 4, 10000, 80000, 18627935, 232, 0
add-s, 8, 10000, 160000, 48240270, 301, 0
add-s, 12, 10000, 240000, 129992293, 541, 0
add-none, 2, 100, 400, 115633, 289, 67
add-none, 2, 1000, 4000, 140236, 35, -303
add-none, 2, 10000, 40000, 599240, 14, -3046
add-none, 2, 100000, 400000, 4675141, 11, -22553
